Item Number,Item Description,22/01/2025,23/01/2025,25/01/2025,27/01/2025,30/01/2025,01/02/2025,05/02/2025,08/02/2025,12/02/2025,15/02/2025,19/02/2025,22/02/2025,26/02/2025,01/03/2025,05/03/2025,08/03/2025,12/03/2025,15/03/2025,19/03/2025,22/03/2025,26/03/2025,31/03/2025,02/04/2025,05/04/2025,09/04/2025,12/04/2025,16/04/2025,19/04/2025,26/04/2025,30/04/2025,03/05/2025
"1261475","Cookies, Chocolate Chip, Frozen",,,,,"73.58",,,,,,,,,,,,"72.47",,,,,,,,"71.85",,,"71.85",,,
"1453617","Cookies, Small Oreo",,,,,,,,,,,,,,,,,,,,,,,"54.71",,,,,,,,
"1261258","Crust, Thin Pizza, Frozen",,,,,"66.22",,,,,,,,,"63.74",,,,,,,,,"63.82",,,,,,,,"90.48"
"1480481","Detergent, Ultra Concentrated Pot & Pan",,,,"94.98",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1188837","Dressing, Creamy Ranch, Gluten Free",,"55.4",,,,,,,"55.4",,,,,,,,,,,"55.4",,,,,,,"55.4",,,,
"1505004","Flour, Dustinator Blend Pizza, Frozen",,,,,,"20.93",,,"19.37",,"19.37",,,,"19.65",,,,"19.65",,,,"19.64",,"19.64",,,"19.64",,"20.66",
"1504785","FROSTING CRM CHS PHILLY",,,,,,,,,,,,,"64.31",,,,,,,,,,,,,,,,,,
"1291786","Ground Beef, Cooked Seasoned, Frozen",,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.95",,,"38.9"
"1196048","Hand Soap, Foaming Antibacterial, Qsr",,,,,,,,,"49.07",,,,,,,,,,,,,,,,,,,,,,
"1303926","Icing, Cream Cheese",,"34.15",,,,,"34.15",,,,,"33.76",,,,,,,,,"33.25",,,,,,,,,,
"1330520","Internal Code, Miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1504814","LABEL QUALITY PAPA JOHNS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1277757","Labels, 4.1X1.75In Sticker, Roll, Custom",,,,,,,,,,,,,,,"96.31",,,,,,,,,,,,,,,,
"1502524","Labels, Quality, Custom",,,,,,"77.41",,,,,,"77.41",,,,,,,,,,,,,,,,,,,
"1327008","Mushrooms, Premium Button, #1",,"20.09",,,,"20.09","20.09",,,,,,,,,,,,,,,,,,,,,,,,
"1326987","Mushrooms, Premium Medium, #1",,,,,,,,,,,,,"20.13",,,"20.13","20.13",,,,,,,,,,,,,,
"1504813","NAPKIN BRN",,,,,,,,,"72.11",,,,,,,,,,,,,,,,,,,,,,
"1130874","Olives, Sliced Manzanilla Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,"60.87",,,
"1110486","Olives, Sliced Ripe Black",,,,,,,,,"77.86",,,,,,,,,,,"77.86",,,,,,,,"77.86",,,
"1348646","Onions, Cooking",,,,,"37.18",,,"37.18",,,,,,,,,,,,,,,,,,,,,,,
"1303887","Pastries, Cinnamon Twist, Pull Apart",,,,"60.06","60.06",,,,"59.13",,,,,"59.1","59.1",,,,,"59.1",,,,,"60.44",,,,,,
